id,Year,Author,Title
211,2013,"Baker,Nicholson",TravellingSprinkler
212,2013,"Boyden,Joseph",TheOrenda
213,2013,"Cain,Chelsea",LetMeGo
214,2013,"Cantor,Jillian",Margot
215,2013,"Carpenter,Lea",ElevenDays
216,2013,"Clanchy,Kate",MeetingtheEnglish
217,2013,"Coetzee,JM",TheChildhoodofJesus
218,2013,"Collins,Ciaran",TheGamal
219,2013,"Crain,Caleb",NecessaryErrors
220,2013,"Cullen,Lynn",MrsPoe
221,2013,"DeSa,Anthony",KickingtheSky
222,2013,"Fawcett,Brian",HumanHappiness
223,2013,"Fielding,Helen",BridgetJonesMadAbouttheBoy
224,2013,"Flood,Cynthia",RedGirlRatBoy
225,2013,"Galland,Nicole",Godiva
226,2013,"Gilbert,Elizabeth",TheSignatureofAllThings
227,2013,"Gillmor,Don",MountPleasant
228,2013,"Grady,Wayne",EmancipationDay
229,2013,"Grisham,John",SycamoreRow
230,2013,"Ireland,Ann",TheBlueGuitar
231,2013,"Johnston,Wayne",TheSonofaCertainWoman
232,2013,"Koch,Herman",TheDinner
233,2013,"Landay,William",DefendingJacob
234,2013,"Lawson,Mary",RoadEnds
235,2013,"LeirenYoung,Mark",FreeMagicSecretsRevealed
236,2013,"Lemaitre,Pierre",Alex
237,2013,"Manning,Kate",MyNotoriousLife
238,2013,"Marias,Javier",TheInfatuations
239,2013,"Mathis,Ayana",TheTwelveTribesofHattie
240,2013,"McGill,Robert",OnceWeHadaCountry
241,2013,"McMillan,Terry",WhoAskedYou
242,2013,"Messud,Claire",TheWomanUpstairs
243,2013,"Moore,Lisa",Caught
244,2013,"Moyes,Jojo",MeBeforeYou
245,2013,"Peace,David",RedorDead
246,2013,"Pessl,Marisha",NightFilm
247,2013,"Phillips,JayneAnne",QuietDell
248,2013,"Piatigorsky,Anton",TheIronBridge
249,2013,"Reza,Yasmina",HappyaretheHappy
250,2013,"Rosenblatt,Roger",TheBoyDetective
251,2013,"Selvadurai,Shyam",TheHungryGhosts
252,2013,"Szado,Ania",StudioSaintEx
253,2013,"Tartt,Donna",TheGoldfinch
254,2013,"Toperoff,Sam",LillianandDash
255,2013,"Wascom,Kent",TheBloodofHeaven
256,2013,"Watson,SJ",BeforeIGotoSleep
257,2013,"Weber,Joanne",TheDeafHouse
258,2013,"Wilk,Lucie",TheStrengthofBone
259,2013,"Winter,Michael",MinisterWithoutPortfolio
260,2013,"Wuitchik,Michael",MyHeartIsNotMyOwn
261,2014,"Abbott,Megan",TheFever
262,2014,"Ackroyd,Peter",ThreeBrothers
263,2014,"Adler,HG",TheWall
264,2014,"Barthelme,Frederick",ThereMustBeSomeMistake
265,2014,"Bausch,Robert",FarastheEyecanSee
266,2014,"Baxter,Greg",MunichAirport
267,2014,"Bezmozgis,David",TheBetrayers
268,2014,"Billingham,Mark",TheBonesBeneath
269,2014,"BirdWilson,Lisa",JustPretending
270,2014,"Black,Benjamin",TheBlackEyedBlonde
271,2014,"Buwalda,Peter",BonitaAvenue
272,2014,"Casey,Maud",TheManWhoWalkedAway
273,2014,"Clement,Jennifer",PrayersfortheStolen
274,2014,"Cohen,LeahHager",NoBookbuttheWorld
275,2014,"Cole,Teju",EveryDayisfortheThief
276,2014,"Cook,Jude",ByronEasy
277,2014,"Coover,Robert",TheBrunistDayofWrath
278,2014,"Cunningham,Michael",TheSnowQueen
279,2014,"Dahl,Julia",InvisibleCity
280,2014,"Danticat,Edwidge",ClaireoftheSeaLight
281,2014,"Derasmo,Stacey",Wonderland
282,2014,"Doctorow,EL",AndrewsBrain
283,2014,"Doerr,Anthony",AlltheLightWeCannotSee
284,2014,"Faber,Michel",TheBookofStrangeNewThings
285,2014,"Farah,Nuruddin",HidinginPlainSight
286,2014,"Ferris,Joshua",ToRiseAgainataDecentHour
287,2014,"Ford,Richard",LetmebeFrankwithYou
288,2014,"Freud,Esther",MrMacandMe
289,2014,"Galbraith,Robert",TheSilkworm
290,2014,"Galchen,Rivka",AmericanInnovations
291,2014,"Galloway,Steven",TheConfabulist
292,2014,"Gay,Roxane",AnUntamedState
293,2014,"Goldberg,Tod",Gangsterland
294,2014,"Hadley,Tessa",CleverGirl
295,2014,"Harun,Adrianne",AManCameOutofaDoorintheMountain
296,2014,"Hawkins,Paula",TheGirlontheTrain
297,2014,"Heller,Peter",ThePainter
298,2014,"Hemmings,KauiHart",ThePossibilities
299,2014,"Hoffman,Alice",TheMuseumofExtraordinaryThings
300,2014,"Hoffman,Cara",BeSafeILoveYou
301,2014,"Huneven,Michelle",OffCourse
302,2014,"Hustvedt,Siri",TheBlazingWorld
303,2014,"Itani,Frances",Tell
304,2014,"Jacobson,Howard",J
305,2014,"James,Marlon",ABriefHistoryofSevenKillings
306,2014,"Jin,Ha",AMapofBetrayal
307,2014,"Jones,Sadie",Fallout
308,2014,"Kapoor,Deepti",ABadCharacter
309,2014,"Kaysen,Susanna",Cambridge
310,2014,"Kidd,SueMonk",TheInventionofWings
311,2014,"King,Stephen",Revival
312,2014,"Klay,Phil",Redeployment
313,2014,"Koch,Herman",SummerHouse
314,2014,"Korelitz,JeanHanff",YouShouldHaveKnown
315,2014,"Lazar,Zachary",IPitythePoorImmigrant
316,2014,"Lee,ChangRae",OnSuchaFullSea
317,2014,"Levine,Daniel",Hyde
318,2014,"Lish,Atticus",PreparationfortheNextLife
319,2014,"Ma,Kathryn",TheYearSheLeftUs
320,2014,"Martin,Valerie",TheGhostoftheMaryCeleste
321,2014,"Matthiessen,Peter",InParadise
322,2014,"Maupin,Armistead",TheDaysofAnnaMadrigal
323,2014,"May,Stephen",WakeUpHappy
324,2014,"McMurty,Larry",TheLastKindWordsSaloon
325,2014,"Mengestu,Dinaw",AllOurNames
326,2014,"Miller,Sue",TheArsonist
327,2014,"Mirvis,Tova",VisibleCity
328,2014,"Mohamed,Nadifa",TheOrchardofLostSouls
329,2014,"Moran,Caitlin",HowtoBuildaGirl
330,2014,"Morton,Brian",Florence
331,2014,"Nesbit,TaraShea",TheWivesofLosAlamos
332,2014,"Newman,Sandra",TheCountryofIceCream
333,2014,"Nunn,Kem",Chance
334,2014,"Offill,Jenny",DeptofSpeculation
335,2014,"Ohle,David",TheOldReactor
336,2014,"Palahniuk,Chuck",BeautifulYou
337,2014,"Paull,Laline",TheBees
338,2014,"Petterson,Per",I Refuse
339,2014,"Prose,Francine",LoversattheChameleonClubParis1932
340,2014,"Quindlen,Anna",StillLifewithBreadCrumbs
341,2014,"Rahman,ZiaHader",IntheLightofWhatWeKnow
342,2014,"Rieger,Susan",TheDivorcePapers
343,2014,"Savage,Sam",ItWillEndWithUs
344,2014,"Segal,Lore",HalftheKingdom
345,2014,"Sharma,Akhil",FamilyLife
346,2014,"Shipstead,Maggie",AstonishMe
347,2014,"Simpson,Mona",Casebook
348,2014,"Smiley,Jane",SomeLuck
349,2014,"Smith,Andrew",GrasshopperJungle
350,2014,"Stace,Wesley",Wonderkid
351,2014,"StAubyn,Edward",LostforWords
352,2014,"Stibbe,Nina",ManattheHelm
353,2014,"Tierce,Merritt",LoveMeBack
354,2014,"Toews,Miriam",AllMyPunySorrows
355,2014,"Townsend,Jacinda",SaintMonkey
356,2014,"Ullmann,Linn",TheColdSong
357,2014,"Venturini,Fred",HeartDoesNotGrowBack
358,2014,"Walker,Casey",LastDaysinSHanghai
359,2014,"Wood,Naomi",MrsHemingway
360,2014,"Wroe,Simon",ChipChop
361,2014,"Zink,Nell",TheWallcreeper
362,2015,"Ackerman,Elliot",GreenonBlue
363,2015,"Albert,Elisa",AfterBirth
364,2015,"Benditt,John",TheBoatmaker
365,2015,"Blackwood,Scott",SeeHowSmall
366,2015,"Christie,Michael",IfIFall
367,2015,"Ciment,Jill",ActofGod
368,2015,"Costello,Mary",Academy Street
369,2015,"Essbaum,JillAlexander",Hausfrau
370,2015,"Fishbane, Joel",The Thunder of Giants
371,2015,"Flournoy, Angela",The Turner House
372,2015,"Freeman, Anna",The Fair Fight
373,2015,"Gattis,Ryan",All Involved
374,2015,"Handler,Daniel",WearePirates
375,2015,"Hemmings,KauiHart",ThePossibilities
376,2015,"Hua,Yu",TheSeventhDay
377,2015,"James,Tania",TheTuskthatDid
378,2015,"July,Miranda",TheFirstBadMan
379,2015,"Kanon,Joseph",LeavingBerlin
380,2015,"Knausgaard,Karl",Dancing in the Dark (My Struggle)
381,2015,"Metcalf,Ben",AgainsttheCountry
382,2015,"Morrison, Toni",God Help the Child
383,2015,"NguyenThanh,Viet",TheSympathizer
384,2015,"Oates,JoyceCarol",TheSacrifice
385,2015,"Scotton,Christopher",ScretWisdomoftheEarth
386,2015,"Steinhauer,Olen",AlltheOldKnives
387,2015,"Treuer, David",Prudence
388,2015,"Tyler,Anne",ASpoolofBlueThread
389,2015,"Vaillant,John",TheJaguarsChildren
390,2015,"VandenBerg,Laura",FindMe
391,2015,"Vann,David",Aquarium
392,2015,"Yanagihara,Hanya",ALittleLife
393,2015,"Yglesias,Rafael",TheWisdomofPerversity
394,2003,"Landay,William",MissionFlats
395,2005,"Johnson,Craig",TheColdDish
396,2009,"Flynn,Gillian",DarkPlaces
397,2009,"Griffiths,Elly",TheCrossingPlaces
398,2010,"Atkinson,Kate",StartedEarlyTookMyDog
399,2010,"Burke,JamesLee",TheGlassRainbow
400,2010,"Connolly,John",TheWhisperers
401,2010,"Dugoni,Robert",BodilyHarm
402,2010,"George,Elizabeth",ThisBodyofDeath
403,2010,"Gerritsen,Tess",IceCold
404,2010,"Goodman,Carol",ArcadiaFalls
405,2010,"Hand,Dana",DeepCreek
406,2010,"King,LaurieR",TheGodoftheHive
407,2010,"Laurie,Victoria",AGlimpseofEvil
408,2010,"McKinlay,Jenn",SprinklewithMurder
409,2010,"Robotham,Michael",BleedForMe
410,2010,"Webber,Heather",TrulyMadly
411,2011,"Aaronovitch,Ben",MidnightRiot
412,2011,"Bolton,Sharon",NowYouSeeMe
413,2011,"McKinlay,Jenn",BooksCanbeDeceiving
414,2011,"OConnell,Carol",TheChalkGirl
415,2011,"Sandford,John",BuriedPrey
416,2011,"Slaughter,Karin",Fallen
417,2011,"SpencerFleming,Julia",OneWasASoldier
418,2011,"Stevens,Chevy",NeverKnowing
419,2011,"Vicary,Tim",BoldCounsel
420,2011,"Watson,SJ",BeforeIGotoSleep
421,2012,"Barclay,Linwood",TrustYourEyes
422,2012,"Burke,JamesLee",CreoleBelle
423,2012,"Crais,Robert",Taken
424,2012,"Elliot,Kendra",Hidden
425,2012,"Fforde,Jasper",TheWomanWhoDiedaLot
426,2012,"Frazier,LA",BackontheMarket
427,2012,"French,Nicci",BlueMonday
428,2012,"George,Elizabeth",TheEdgeofNowhere
429,2012,"Hobbs,Roger",Ghostman
430,2012,"Kellerman,Jonathan",Victims
431,2012,"McPherson,Catriona",DandyGilver
432,2012,"Morton,Kate",TheSecretKeeper
433,2012,"Rankin,Ian",StandinginAnotherMansGrave
434,2012,"Robotham,Michael",SayYoureSorry
435,2012,"Ronald,RD",TheZombieRoom
436,2012,"Runcie,James",SidneyChambersandTheShadow
437,2012,"Scottoline,Lisa",ComeHome
438,2012,"Shapiro,BA",TheArtForger
439,2012,"Sloan,Robin",MrPenumbras24Hour
440,2012,"Swank,DeniseGrover",TwentyNineandaHalfReasons
441,2012,"Unger,Lisa",Heartbroken
442,2013,"Beukes,Lauren",TheShiningGirls
443,2013,"Busby,Sian",ACommonplaceKilling
444,2013,"Connelly,Michael",TheGodsofGuilt
445,2013,"Cornwell,Patricia",Dust
446,2013,"Coulter,Catherine",Bombshell
447,2013,"Crais,Robert",Suspect
448,2013,"Crouch,Blake",Wayward
449,2013,"Fairstein,Linda",DeathAngel
450,2013,"French,Nicci",TuesdaysGone
451,2013,"Jio,Sarah",TheLastCamellia
452,2013,"Krueger,WilliamKent",OrdinaryGrace
453,2013,"McCreight,Kimberly",ReconstructingAmelia
454,2013,"O'Connell,Carol",ItHappensintheDark
455,2013,"Pessl,Marisha",NightFilm
456,2013,"Phillips,JayneAnne",QuietDell
457,2013,"Quick,Amanda",TheMysteryWoman
458,2013,"Raimondo,Lynne",DantesWood
459,2013,"Rankin,Ian",SaintsoftheShadowBible
460,2013,"Reichs,Kathy",BonesoftheLost
461,2013,"Robertson,Imogen",TheParisWinter
462,2013,"Smith,AlexanderMccall",TheMinorAdjustmentBeauty
463,2013,"SpencerFleming,Julia",ThroughtheEvilDays
464,2013,"Swank,DeniseGrover",TwentyEightandAHalfWishes
465,2013,"Tyson,Wendy",KillerImage
466,2013,"Winspear,Jacqueline",LeavingEverythingMostLoved
467,2013,"Zander,Joakim",TheSwimmer
468,2013,"Ziskin,JamesW",Styx&Stones
469,2014,"Abani,Chris",TheSecretHistoryofLasVegas
470,2014,"AdlerOlsen,Jussi",TheMarcoEffect
471,2014,"Atkins,Ace",RobertBParkersCheapShot
472,2014,"Barclay,Linwood",NoSafeHouse
473,2014,"Bouman,Tom",DryBonesintheValley
474,2014,"Box,CJ",StoneCold
475,2014,"Bradley,Alan",TheDeadinTheirVaulted
476,2014,"Brown,Sandra",MeanStreak
477,2014,"Casey,Jane",TheStrangerYouKnow
478,2014,"Cash,Wiley",ThisDarkRoadtoMercy
479,2014,"Coben,Harlan",MissingYou
480,2014,"Connelly,Michael",TheBurningRoom
481,2014,"Connolly,John",TheWolfinWinter
482,2014,"Cornwell,Patricia",FleshandBlood
483,2014,"Dahl,Julia",InvisibleCity
484,2014,"Deaver,Jeffery",TheBoneCollector
485,2014,"Donoghue,Emma",FrogMusic
486,2014,"Dougherty,Victoria",TheBoneChurch
487,2014,"Dugoni,Robert",MySistersGrave
488,2014,"Eskens,Allen",TheLifeWeBury
489,2014,"Evanovich,Janet",TopSecretTwentyOne
490,2014,"Fairstein,Linda",TerminalCity
491,2014,"Fitzpatrick,Becca",BlackIce
492,2014,"French,Tana",TheSecretPlace
493,2014,"Galbraith,Robert",TheSilkworm
494,2014,"Gerritsen,Tess",DieAgain
495,2014,"Hawkins,Paula",TheGirlontheTrain
496,2014,"Healey,Emma",ElizabethisMissing
497,2014,"Hendrix,Grady",Horrorstor
498,2014,"Hinton,Lynne",SisterEvePrivateEye
499,2014,"Jones,Darynda",SixthGraveontheEdge
500,2014,"Klise,James",TheArtofSecrets
501,2014,"Kubica,Mary",TheGoodGirl
502,2014,"Lashner,William",Bagmen
503,2014,"Lashner,William",TheBarkeep
504,2014,"McKenzie,CB",BadCountry
505,2014,"McPherson,Catriona",TheDaySheDied
506,2014,"Murphy,Hunter",ImogeneinNewOrleans
507,2014,"Nesbo,Jo",TheSon
508,2014,"Neville,Stuart",TheFinalSilence
509,2014,"Nolen,RL",DeadlyThyme
510,2014,"Papernick,Jonathan",TheBookofStone
511,2014,"Penny,Louise",TheLongWayHome
512,2014,"Picoult,Jodi",LeavingTime
513,2014,"Pryor,Mark",TheBloodPromise
514,2014,"Pryor,Mark",TheButtonMan
515,2014,"Raimondo,Lynne",DantesPoison
516,2014,"Reade,Amy",SecretsofHallsteadHouse
517,2014,"Reichs,Kathy",BonesNeverLie
518,2014,"Rickstad,Eric",TheSilentGirls
519,2014,"Robb,JD",FestiveinDeath
520,2014,"Shafer,David",WhiskeyTangoFoxtrot
521,2014,"Sherratt,Mel",WatchingOverYou
522,2014,"Slaughter,Karin",CopTown
523,2014,"Smith,AlexanderMccall",TheHandsomeMansDeLuxe
524,2014,"Smith,TomRob",TheFarm
525,2014,"Stelmach,Orest",TheBoyWhoGlowedintheDark
526,2014,"Sternbergh,Adam",ShovelReady
527,2014,"Stevens,Chevy",ThatNight
528,2014,"Turner,Stevie",AHouseWithoutWindows
