id	Year	Author	Title	Corpus
191	2014	"Clark,MaryHiggins"	IveGotYouUnder	BS
192	2014	"Coben,Harlan"	MissingYou	BS
193	2014	"Coben,Harlan"	SixYears	BS
194	2014	"Kidd,SueMonk"	TheInventionofWings	BS
195	2014	"Paige,Laurelin"	TheFixedTrilogy	BS
196	2014	"Patterson,James"	NYPDRed2	BS
197	2014	"Patterson,James"	Private1Suspect	BS
198	2014	"Patterson,James"	PrivateLA	BS
199	2014	"Roberts,Nora"	ShadowSpell	BS
200	2014	"Roberts,Nora"	TheCollector	BS
201	2002	"Baker,Jo"	Offcomer	NYT
202	2010	"Grodstein,Lauren"	AFriendoftheFamily	NYT
203	2011	"Stevens,Taylor"	TheInformationist	NYT
204	2012	"Erlings,Fridrik"	BoyontheEdge	NYT
205	2012	"Harbach,Chad"	TheArtofFielding	NYT
206	2012	"Redekop,Corey"	Husk	NYT
207	2012	"Stedman,ML"	TheLightBetweenOceans	NYT
208	2012	"Swan,Susan"	TheWesternLight	NYT
209	2013	"Atwood,Margaret"	MaddAddam	NYT
210	2013	"Baker,Kevin"	TheBigCrowd	NYT
211	2013	"Baker,Nicholson"	TravellingSprinkler	NYT
212	2013	"Boyden,Joseph"	TheOrenda	NYT
213	2013	"Cain,Chelsea"	LetMeGo	NYT
214	2013	"Cantor,Jillian"	Margot	NYT
215	2013	"Carpenter,Lea"	ElevenDays	NYT
216	2013	"Clanchy,Kate"	MeetingtheEnglish	NYT
217	2013	"Coetzee,JM"	TheChildhoodofJesus	NYT
218	2013	"Collins,Ciaran"	TheGamal	NYT
219	2013	"Crain,Caleb"	NecessaryErrors	NYT
220	2013	"Cullen,Lynn"	MrsPoe	NYT
221	2013	"DeSa,Anthony"	KickingtheSky	NYT
222	2013	"Fawcett,Brian"	HumanHappiness	NYT
223	2013	"Fielding,Helen"	BridgetJonesMadAbouttheBoy	NYT
224	2013	"Flood,Cynthia"	RedGirlRatBoy	NYT
225	2013	"Galland,Nicole"	Godiva	NYT
226	2013	"Gilbert,Elizabeth"	TheSignatureofAllThings	NYT
227	2013	"Gillmor,Don"	MountPleasant	NYT
228	2013	"Grady,Wayne"	EmancipationDay	NYT
229	2013	"Grisham,John"	SycamoreRow	NYT
230	2013	"Ireland,Ann"	TheBlueGuitar	NYT
231	2013	"Johnston,Wayne"	TheSonofaCertainWoman	NYT
232	2013	"Koch,Herman"	TheDinner	NYT
233	2013	"Landay,William"	DefendingJacob	NYT
234	2013	"Lawson,Mary"	RoadEnds	NYT
235	2013	"LeirenYoung,Mark"	FreeMagicSecretsRevealed	NYT
236	2013	"Lemaitre,Pierre"	Alex	NYT
237	2013	"Manning,Kate"	MyNotoriousLife	NYT
238	2013	"Marias,Javier"	TheInfatuations	NYT
239	2013	"Mathis,Ayana"	TheTwelveTribesofHattie	NYT
240	2013	"McGill,Robert"	OnceWeHadaCountry	NYT
241	2013	"McMillan,Terry"	WhoAskedYou	NYT
242	2013	"Messud,Claire"	TheWomanUpstairs	NYT
243	2013	"Moore,Lisa"	Caught	NYT
244	2013	"Moyes,Jojo"	MeBeforeYou	NYT
245	2013	"Peace,David"	RedorDead	NYT
246	2013	"Pessl,Marisha"	NightFilm	NYT
247	2013	"Phillips,JayneAnne"	QuietDell	NYT
248	2013	"Piatigorsky,Anton"	TheIronBridge	NYT
249	2013	"Reza,Yasmina"	HappyaretheHappy	NYT
250	2013	"Rosenblatt,Roger"	TheBoyDetective	NYT
251	2013	"Selvadurai,Shyam"	TheHungryGhosts	NYT
252	2013	"Szado,Ania"	StudioSaintEx	NYT
253	2013	"Tartt,Donna"	TheGoldfinch	NYT
254	2013	"Toperoff,Sam"	LillianandDash	NYT
255	2013	"Wascom,Kent"	TheBloodofHeaven	NYT
256	2013	"Watson,SJ"	BeforeIGotoSleep	NYT
257	2013	"Weber,Joanne"	TheDeafHouse	NYT
258	2013	"Wilk,Lucie"	TheStrengthofBone	NYT
259	2013	"Winter,Michael"	MinisterWithoutPortfolio	NYT
260	2013	"Wuitchik,Michael"	MyHeartIsNotMyOwn	NYT
261	2014	"Abbott,Megan"	TheFever	NYT
262	2014	"Ackroyd,Peter"	ThreeBrothers	NYT
263	2014	"Adler,HG"	TheWall	NYT
264	2014	"Barthelme,Frederick"	ThereMustBeSomeMistake	NYT
265	2014	"Bausch,Robert"	FarastheEyecanSee	NYT
266	2014	"Baxter,Greg"	MunichAirport	NYT
267	2014	"Bezmozgis,David"	TheBetrayers	NYT
268	2014	"Billingham,Mark"	TheBonesBeneath	NYT
269	2014	"BirdWilson,Lisa"	JustPretending	NYT
270	2014	"Black,Benjamin"	TheBlackEyedBlonde	NYT
271	2014	"Buwalda,Peter"	BonitaAvenue	NYT
272	2014	"Casey,Maud"	TheManWhoWalkedAway	NYT
273	2014	"Clement,Jennifer"	PrayersfortheStolen	NYT
274	2014	"Cohen,LeahHager"	NoBookbuttheWorld	NYT
275	2014	"Cole,Teju"	EveryDayisfortheThief	NYT
276	2014	"Cook,Jude"	ByronEasy	NYT
277	2014	"Coover,Robert"	TheBrunistDayofWrath	NYT
278	2014	"Cunningham,Michael"	TheSnowQueen	NYT
279	2014	"Dahl,Julia"	InvisibleCity	NYT
280	2014	"Danticat,Edwidge"	ClaireoftheSeaLight	NYT
281	2014	"Derasmo,Stacey"	Wonderland	NYT
282	2014	"Doctorow,EL"	AndrewsBrain	NYT
283	2014	"Doerr,Anthony"	AlltheLightWeCannotSee	NYT
284	2014	"Faber,Michel"	TheBookofStrangeNewThings	NYT
285	2014	"Farah,Nuruddin"	HidinginPlainSight	NYT
286	2014	"Ferris,Joshua"	ToRiseAgainataDecentHour	NYT
287	2014	"Ford,Richard"	LetmebeFrankwithYou	NYT
288	2014	"Freud,Esther"	MrMacandMe	NYT
289	2014	"Galbraith,Robert"	TheSilkworm	NYT
290	2014	"Galchen,Rivka"	AmericanInnovations	NYT
291	2014	"Galloway,Steven"	TheConfabulist	NYT
292	2014	"Gay,Roxane"	AnUntamedState	NYT
293	2014	"Goldberg,Tod"	Gangsterland	NYT
294	2014	"Hadley,Tessa"	CleverGirl	NYT
295	2014	"Harun,Adrianne"	AManCameOutofaDoorintheMountain	NYT
296	2014	"Hawkins,Paula"	TheGirlontheTrain	NYT
297	2014	"Heller,Peter"	ThePainter	NYT
298	2014	"Hemmings,KauiHart"	ThePossibilities	NYT
299	2014	"Hoffman,Alice"	TheMuseumofExtraordinaryThings	NYT
300	2014	"Hoffman,Cara"	BeSafeILoveYou	NYT
301	2014	"Huneven,Michelle"	OffCourse	NYT
302	2014	"Hustvedt,Siri"	TheBlazingWorld	NYT
303	2014	"Itani,Frances"	Tell	NYT
304	2014	"Jacobson,Howard"	J	NYT
305	2014	"James,Marlon"	ABriefHistoryofSevenKillings	NYT
306	2014	"Jin,Ha"	AMapofBetrayal	NYT
307	2014	"Jones,Sadie"	Fallout	NYT
308	2014	"Kapoor,Deepti"	ABadCharacter	NYT
309	2014	"Kaysen,Susanna"	Cambridge	NYT
310	2014	"Kidd,SueMonk"	TheInventionofWings	NYT
311	2014	"King,Stephen"	Revival	NYT
312	2014	"Klay,Phil"	Redeployment	NYT
313	2014	"Koch,Herman"	SummerHouse	NYT
314	2014	"Korelitz,JeanHanff"	YouShouldHaveKnown	NYT
315	2014	"Lazar,Zachary"	IPitythePoorImmigrant	NYT
316	2014	"Lee,ChangRae"	OnSuchaFullSea	NYT
317	2014	"Levine,Daniel"	Hyde	NYT
318	2014	"Lish,Atticus"	PreparationfortheNextLife	NYT
319	2014	"Ma,Kathryn"	TheYearSheLeftUs	NYT
320	2014	"Martin,Valerie"	TheGhostoftheMaryCeleste	NYT
321	2014	"Matthiessen,Peter"	InParadise	NYT
322	2014	"Maupin,Armistead"	TheDaysofAnnaMadrigal	NYT
323	2014	"May,Stephen"	WakeUpHappy	NYT
324	2014	"McMurty,Larry"	TheLastKindWordsSaloon	NYT
325	2014	"Mengestu,Dinaw"	AllOurNames	NYT
326	2014	"Miller,Sue"	TheArsonist	NYT
327	2014	"Mirvis,Tova"	VisibleCity	NYT
328	2014	"Mohamed,Nadifa"	TheOrchardofLostSouls	NYT
329	2014	"Moran,Caitlin"	HowtoBuildaGirl	NYT
330	2014	"Morton,Brian"	Florence	NYT
331	2014	"Nesbit,TaraShea"	TheWivesofLosAlamos	NYT
332	2014	"Newman,Sandra"	TheCountryofIceCream	NYT
333	2014	"Nunn,Kem"	Chance	NYT
334	2014	"Offill,Jenny"	DeptofSpeculation	NYT
335	2014	"Ohle,David"	TheOldReactor	NYT
336	2014	"Palahniuk,Chuck"	BeautifulYou	NYT
337	2014	"Paull,Laline"	TheBees	NYT
338	2014	"Petterson,Per"	I Refuse	NYT
339	2014	"Prose,Francine"	LoversattheChameleonClubParis1932	NYT
340	2014	"Quindlen,Anna"	StillLifewithBreadCrumbs	NYT
341	2014	"Rahman,ZiaHader"	IntheLightofWhatWeKnow	NYT
342	2014	"Rieger,Susan"	TheDivorcePapers	NYT
343	2014	"Savage,Sam"	ItWillEndWithUs	NYT
344	2014	"Segal,Lore"	HalftheKingdom	NYT
345	2014	"Sharma,Akhil"	FamilyLife	NYT
346	2014	"Shipstead,Maggie"	AstonishMe	NYT
347	2014	"Simpson,Mona"	Casebook	NYT
348	2014	"Smiley,Jane"	SomeLuck	NYT
349	2014	"Smith,Andrew"	GrasshopperJungle	NYT
350	2014	"Stace,Wesley"	Wonderkid	NYT
351	2014	"StAubyn,Edward"	LostforWords	NYT
352	2014	"Stibbe,Nina"	ManattheHelm	NYT
353	2014	"Tierce,Merritt"	LoveMeBack	NYT
354	2014	"Toews,Miriam"	AllMyPunySorrows	NYT
355	2014	"Townsend,Jacinda"	SaintMonkey	NYT
356	2014	"Ullmann,Linn"	TheColdSong	NYT
357	2014	"Venturini,Fred"	HeartDoesNotGrowBack	NYT
358	2014	"Walker,Casey"	LastDaysinSHanghai	NYT
359	2014	"Wood,Naomi"	MrsHemingway	NYT
360	2014	"Wroe,Simon"	ChipChop	NYT
361	2014	"Zink,Nell"	TheWallcreeper	NYT
362	2015	"Ackerman,Elliot"	GreenonBlue	NYT
